species,family,total_visits,major_visitors,bearing,native_range(N/O)
Acanthus mollis,Acanthaceae),35,Solitary bees,Herb,N
Allium neapolinatum,Alliaceae,38,"Non-syrphid, diptera, Bees",Herb,N
Bougainvillea glabra,Nyctagineaceae,46,"Lepidoptera, Solitary bees",Shrub,O
Callistemon citrinus,Myrtaceae,0,,Shrub,O
Campsis radicans,Bignoniaceae,37,Bees,Shrub,O
Canna indica,Cannaceae,22,Solitary bees,Herb,O
Chasmanthe aethiopica,Iridaceae,0,,Herb,O
Citrus x aurantium,Rutaceae,10,Bees,Tree,N
Clivia nobilis,Amarilidaceae,0,,Herb,O
Cyclamen persicum,Primulaceae,0,,Herb,O
Dimorphoteca ecklonis,Asteraceae,8,Diptera,Herb,O
Diplotaxis muralis,Brassicaceae,7,Solitary bees,Herb,N
Ficaria verna,Ranunculaceae,10,Solitary bees,Herb,N
Glebionis coronaria,Asteraceae,7,"Coleoptera, Non-syrphid, diptera",Herb,N
Hypericum canariense,Hypericaceae,5,Social bees,Shrub,O
Hypochaeris glabra,Asteraceae,49,"Solitary bees, Syrphids",Herb,N
Iris albicans,Iridaceae,0,,Herb,N
Iris foetidissima,Iridaceae,16,Solitary bees,Herb,N
Jasminum nudiflorum,Oleaceae,10,"Non-syrphid, diptera, Syrphids",Shrub,O
Jasminum officinale,Oleaceae,1,Solitary bees,Shrub,O
Justicia adhatoda,Acanthaceae,10,Social bees,Shrub,O
Lantana camara,Verbenaceae,0,,Shrub,O
Lycianthes rantonnetii,Solanaceae,30,Solitary bees,Shrub,O
Melianthus major,Francoaceae,0,,Shrub,O
Oxalis pes-caprae,Oxalidaceae,113,"Syrphids, Bees",Herb,O
Philadelphus coronarius,Hydrangeaceae,0,,Shrub,N
Photinia serratifolia,Rosaceae,55,Solitary bees,Tree,O
Pittosporum tobira,Pittosporaceae,50,"Social bees, Syrphids",Tree,O
Plumbago auriculata,Plumbaginaceae,0,,Shrub,O
Rosa banksiae,Rosaceae,15,"Solitary bees, Syrphids",Shrub,O
Rosa majalis,Rosaceae,1,"Non-syrphid, diptera",Shrub,N
Sonchus oleraceus,Asteraceae,79,Syrphids,Herb,N
Spiraea x vanhouttei,Rosaceae,47,"Non-syrphid, diptera",Shrub,O
Taraxacum officinale,Asteraceae,19,Bees,Herb,N
Trachelospermum jasminoides,Apocynaceae,5,"Solitary bees, Syrphids",Shrub,
Viburnum sp.,Caprifoliaceae,94,Bees,"Shrub, Tree",O
Viburnum tinus,Caprifoliaceae,63,Diptera,Shrub,O
Vinca difformis,Apocynaceae,36,"Social bees, Syrphids",Herb,N
Wisteria sinensis,Fabaceae,8,Bees,Shrub,O
