order,family,pollinator_species,n_parks
Coleoptera,Cetoniidae,Oxythyrea funesta,35
Coleoptera,Tenebrionidae,Heliotaurus ruficollis,10
Coleoptera,Scarabaedidae,Protaetia sp1,1
Coleoptera,Cantharidae,Rhagonycha fulva,1
Coleoptera,,Coleoptera sp1,1
Diptera,Syrphidae,Episyrphys balteatus,192
Diptera,Calliphoridae,Calliphora vicina,166
Diptera,,Diptera spp1,75
Diptera,Syrphidae,Eristalinues taeniops,74
Diptera,Syrphidae,Eristalis similis,186
Diptera,Syrphidae,Syritta pipiens,133
Diptera,Syrphidae,Sphaerophoria scripta,46
Diptera,Calliphoridae,Stomorhina lunata,70
Diptera,Syrphidae,Myathropa florea,143
Diptera,Calliphoridae,Lucilia sericata,53
Diptera,Rhinophoridae,Stevenia sp1,40
Diptera,Syrphidae,Eristalis tenax,22
Diptera,Syrphidae,Eupeodes corollae,22
Diptera,Sarcophagidae,Sarcophaga sp1,13
Diptera,Calliphoridae,Pollenia sp1,49
Diptera,Anthomyiidae,Anthomyiidae sp1,40
Diptera,Anthomyiidae,Anthomyiidae sp2,10
Diptera,Anthomyiidae,Anthomyiidae sp3,20
Diptera,Syrphidae,Myolepta difformis,8
Diptera,Syrphidae,Paragus spp1,8
Diptera,Muscidae,Muscidae sp1,13
Diptera,Muscidae,Muscidae sp2,10
Diptera,Syrphidae,Chrysotoxum intermedium,7
Diptera,Syrphidae,Sphaerophoria rueppellii,5
Diptera,,Diptera spp2,8
Diptera,Anthomyiidae,Anthomyia pluvialis,6
Diptera,Calliphoridae,Pollenia sp2,5
Diptera,Bombyliidae ,Bombylius cinerascens ,4
Diptera,,Diptera sp1,29
Diptera,Muscidae,Musca autumnalis,7
Diptera,Muscidae,Muscidae sp3,3
Diptera,Syrphidae,Syrphidae sp1,3
Diptera,Bombyliidae ,Anthrax trifasciatus,2
Diptera,Bombyliidae ,Bombyliidae sp1,2
Diptera,Calliphoridae,Lucilia sp1,2
Diptera,Muscidae,Muscina stabulans,7
Diptera,Muscidae,Helina evecta,5
Diptera,Syrphidae,Eristalis arbustorum,4
Diptera,Calliphoridae,Pollenia amentaria,4
Diptera,Calliphoridae,Calliphora vomitoria,3
Diptera,Syrphidae,Eristalinus aeneus,3
Diptera,Muscidae,Graphomya maculata,3
Diptera,Anthomyiidae,Anthomyia sp1,2
Diptera,Bombyliidae ,Bombylius medius,2
Diptera,Bombyliidae ,Amictus sp1,1
Diptera,Calliphoridae,Lucilia sp2,1
Diptera,Syrphidae,Melanostoma mellinum,1
Diptera,Syrphidae,Merodon geniculatus,1
Diptera,Muscidae,Musca domestica,1
Diptera,Syrphidae,Paragus bicolor,1
Diptera,Syrphidae,Paragus quadrifasciatus,1
Diptera,Syrphidae,Syritta flaviventris,1
Diptera,Bombyliidae ,Villa sp1,1
Diptera,Syrphidae,Xanthandrus comtus,1
Diptera,,Diptera sp2,1
Hymenoptera,Apidae,Apis mellifera,3122
Hymenoptera,Apidae,Xylocopa violacea,1097
Hymenoptera,Megachilidae,Megachile spp1,248
Hymenoptera,Megachilidae,Anthidium manicatum/florentinum,499
Hymenoptera,,Bee spp1,88
Hymenoptera,Halictidae,Lasioglossum politum,216
Hymenoptera,Apidae,Amegilla quadrifasciata,146
Hymenoptera,Halictidae,Lasioglossum capitale,80
Hymenoptera,Andrenidae,Andrena pilipes,93
Hymenoptera,Apidae,Bombus terrestrris,44
Hymenoptera,Halictidae,Lasioglossum glabriusculum,126
Hymenoptera,Andrenidae,Andrena spp1,64
Hymenoptera,Colletidae,Hylaeus pictipes,47
Hymenoptera,Colletidae,Hylaeus punctatus,46
Hymenoptera,Halictidae,Lasioglossum pauperatum,80
Hymenoptera,Megachilidae,Megachile apicalis,70
Hymenoptera,Halictidae,Lasioglossum pauxillum,38
Hymenoptera,Halictidae,Lasioglossum minutissimum,27
Hymenoptera,Halictidae,Lasioglossum spp1,23
Hymenoptera,Apidae,Eucera notata,75
Hymenoptera,Megachilidae,Megachile rotundata,48
Hymenoptera,Apidae,Anthophora plumipes,36
Hymenoptera,Megachilidae,Megachile ericetorum,34
Hymenoptera,Halictidae,Lasioglossum malachurum,26
Hymenoptera,Apidae,Nomioides facilis,25
Hymenoptera,Apidae,Thyreus histrionicus,9
Hymenoptera,Halictidae,Lasioglossum sphecodimorphum,27
Hymenoptera,Halictidae,Halictus vestitus,16
