,sp,native,polinizadores,grupo
Abelia floribunda,Abelia floribunda,FALSE,bajo,
Abelia grandiflora,Abelia grandiflora,FALSE,bajo,
Abelia sp,Abelia sp,FALSE,bajo,
Abies pinsapo,Abies pinsapo,TRUE,no,
Abutilon megapotamicum,Abutilon megapotamicum,FALSE,bajo,
Acacia dealbata,Acacia dealbata,FALSE,bajo,
Acacia farnesiana,Acacia farnesiana,FALSE,bajo,
Acacia karroo,Acacia karroo,FALSE,bajo,
Acacia retinoides,Acacia retinoides,FALSE,bajo,
Acacia saligna,Acacia saligna,FALSE,bajo,
Acacia sp,Acacia sp,FALSE,bajo,
Acanthus mollis,Acanthus mollis,TRUE,medio,
Acer campestre,Acer campestre,TRUE,no,
Acer negundo,Acer negundo,FALSE,no,
Acokanthera spectabilis,Acokanthera spectabilis,FALSE,medio,
Adhatoda basica,Adhatoda basica,FALSE,medio,
Agapanthus africanus,Agapanthus africanus,FALSE,bajo,
Agapanthus praecox,Agapanthus praecox,FALSE,bajo,
Agave americana,Agave americana,FALSE,bajo,
Agave attenuata,Agave attenuata,FALSE,bajo,
Agave ferox,Agave ferox,FALSE,bajo,
Agave sp,Agave sp,FALSE,bajo,
Ailanthus altissima,Ailanthus altissima,FALSE,no,
Albizia julibrissin,Albizia julibrissin,FALSE,bajo,
Alocasia macrorrhiza,Alocasia macrorrhiza,FALSE,bajo,
Aloe arborescens,Aloe arborescens,FALSE,bajo,
Aloe ferox,Aloe ferox,FALSE,bajo,
Aloe sp,Aloe sp,FALSE,bajo,
Aloe vera,Aloe vera,FALSE,bajo,
Althea sp,Althea sp,TRUE,medio,
Arbustos varios,Arbustos varios,NA,NA,
Arbutus unedo,Arbutus unedo,TRUE,alto,
Asparagus densiflorus,Asparagus densiflorus,FALSE,bajo,
Asparagus setaceus,Asparagus setaceus,FALSE,bajo,
Atriplex halimus,Atriplex halimus,TRUE,no,
Bambusa aurea,Bambusa aurea,FALSE,no,
Bambusa sp,Bambusa sp,FALSE,no,
Bauhinia acuminata,Bauhinia acuminata,FALSE,bajo,
Bauhinia purpurea,Bauhinia purpurea,FALSE,bajo,
Bauhinia sp,Bauhinia sp,FALSE,bajo,
Berberis sp,Berberis sp,TRUE,medio,
Berberis thunbergii,Berberis thunbergii,FALSE,bajo,
Berberis vulgaris,Berberis vulgaris,TRUE,medio,
Bignonia jasminoides,Bignonia jasminoides,FALSE,bajo,
Bignonia ricasoliana,Bignonia ricasoliana,FALSE,bajo,
Bignonia sp,Bignonia sp,FALSE,bajo,
Bosea amherstiana,Bosea amherstiana,FALSE,bajo,
Bouganvillea glabra,Bouganvillea glabra,FALSE,bajo,
Bouganvillea spectabilis,Bouganvillea spectabilis,FALSE,bajo,
Brachychiton acerifolius,Brachychiton acerifolius,FALSE,bajo,
Brachychiton discolor,Brachychiton discolor,FALSE,bajo,
Brachychiton populneus,Brachychiton populneus,FALSE,bajo,
Brachychiton sp,Brachychiton sp,FALSE,bajo,
Broussonetia papyrifera,Broussonetia papyrifera,FALSE,bajo,
Brugmansia sp,Brugmansia sp,FALSE,bajo,
Brugmansia suaveolens,Brugmansia suaveolens,FALSE,bajo,
Buddleja madagascariensis,Buddleja madagascariensis,FALSE,alto,mariposas
Bupleurum fruticosum,Bupleurum fruticosum,TRUE,alto,"dipteros, hymenopteros"
Buxus sempervirens,Buxus sempervirens,TRUE,bajo,
Caesalpina gilliesii,Caesalpina gilliesii,FALSE,bajo,
Callistemon citrinus,Callistemon citrinus,FALSE,bajo,
Callistemon laevis,Callistemon laevis,FALSE,bajo,
Callistemon speciosus,Callistemon speciosus,FALSE,bajo,
Camellia japonica,Camellia japonica,FALSE,medio,
Campsis radicans,Campsis radicans,FALSE,medio,
Canna indica,Canna indica,FALSE,bajo,
Canna sp,Canna sp,FALSE,bajo,
Carissa edulis,Carissa edulis,FALSE,bajo,
Casuarina equisetifolia,Casuarina equisetifolia,FALSE,no,
Catalpa bignonioides,Catalpa bignonioides,FALSE,medio,
Cedrus atlantica,Cedrus atlantica,FALSE,no,
Cedrus deodara,Cedrus deodara,FALSE,no,
Celtis australis,Celtis australis,TRUE,no,
Celtis sinensis,Celtis sinensis,FALSE,medio,
Ceratonia siliqua,Ceratonia siliqua,TRUE,bajo,sirfidos
Cercis siliquastrum,Cercis siliquastrum,FALSE,medio,
Cereus sp,Cereus sp,FALSE,bajo,
Cestrum elegans,Cestrum elegans,FALSE,bajo,
Cestrum fasciculatum,Cestrum fasciculatum,FALSE,bajo,
Cestrum nocturnum,Cestrum nocturnum,FALSE,bajo,
Cestrum sanguineum,Cestrum sanguineum,FALSE,bajo,
Chaenomeles sinensis,Chaenomeles sinensis,FALSE,medio,
Chaenomeles speciosa,Chaenomeles speciosa,FALSE,medio,
Chamaedorea elegans,Chamaedorea elegans,FALSE,bajo,
Chamaerops excelsa,Chamaerops excelsa,FALSE,bajo,coleoptera
Chamaerops humilis,Chamaerops humilis,TRUE,bajo,coleoptera
Chimonanthus praecox,Chimonanthus praecox,FALSE,bajo,
Chlorophytum comosum,Chlorophytum comosum,FALSE,bajo,
Chorisia speciosa,Chorisia speciosa,FALSE,bajo,
Cineraria maritima,Cineraria maritima,TRUE,medio,
Cistus albidus,Cistus albidus,TRUE,alto,
Cistus ladanifer,Cistus ladanifer,TRUE,alto,
Cistus salvifolius,Cistus salvifolius,TRUE,alto,
Citrus aurantium,Citrus aurantium,FALSE,medio,
Citrus limon,Citrus limon,FALSE,medio,
Clivia cyrtanthiflora,Clivia cyrtanthiflora,FALSE,bajo,
Clivia miniata,Clivia miniata,FALSE,bajo,
Clivia nobilis,Clivia nobilis,FALSE,bajo,
Cocculus laurifolius,Cocculus laurifolius,FALSE,bajo,
Cortaderia argentea,Cortaderia argentea,FALSE,no,
Cortaderia selloana,Cortaderia selloana,FALSE,no,
Cotoneaster horizontalis,Cotoneaster horizontalis,FALSE,medio,
Cotoneaster lacteus,Cotoneaster lacteus,FALSE,medio,
Cotoneaster sp,Cotoneaster sp,FALSE,medio,
Crassula arborescens,Crassula arborescens,FALSE,bajo,
Crassula ovata,Crassula ovata,FALSE,bajo,
Crassula sp,Crassula sp,FALSE,bajo,
Crataegus monogyna,Crataegus monogyna,TRUE,alto,
Crataegus sp,Crataegus sp,TRUE,alto,
Cuphea cimecea,Cuphea cimecea,FALSE,bajo,
Cupressus arizonica,Cupressus arizonica,FALSE,no,
Cupressus glabra,Cupressus glabra,FALSE,no,
Cupressus sempervirens,Cupressus sempervirens,FALSE,no,
Cupressus sp,Cupressus sp,TRUE,no,
Cycas revoluta,Cycas revoluta,FALSE,bajo,
Cydonia oblonga,Cydonia oblonga,FALSE,medio,
Cyperus alternifolius,Cyperus alternifolius,FALSE,no,
Cyperus papirus,Cyperus papirus,FALSE,no,
Cytisus scoparius,Cytisus scoparius,TRUE,medio,
Daphne mezereum,Daphne mezereum,TRUE,medio,
Dasylirion serratifolium,Dasylirion serratifolium,FALSE,no,
Datura arborea,Datura arborea,FALSE,bajo,
Dictitis bucinatoria,Dictitis bucinatoria,FALSE,bajo,
Dimorphoteca sp,Dimorphoteca sp,FALSE,medio,
Dioon edule,Dioon edule,FALSE,no,
Dodonaea viscosa,Dodonaea viscosa,FALSE,bajo,
Dombeya cayeuxii,Dombeya cayeuxii,FALSE,bajo,
Dombeya tiliacea,Dombeya tiliacea,FALSE,bajo,
Dracaena draco,Dracaena draco,FALSE,no,
Dracaena marginata,Dracaena marginata,FALSE,no,
Dracaena sp,Dracaena sp,FALSE,no,
Duranta erecta,Duranta erecta,FALSE,bajo,
Duranta repens,Duranta repens,FALSE,bajo,
Elaeagnus angustifolia,Elaeagnus angustifolia,FALSE,medio,
Elaeagnus pugens,Elaeagnus pugens,FALSE,medio,
Elaeagnus sp,Elaeagnus sp,FALSE,medio,
Elaeagnus x ebbingei,Elaeagnus x ebbingei,FALSE,medio,
Erica carnea,Erica carnea,TRUE,medio,
Eriobotrya quadrangularis,Eriobotrya quadrangularis,FALSE,medio,
Erythrina caffra,Erythrina caffra,FALSE,bajo,
Erythrina crista-galli,Erythrina crista-galli,FALSE,bajo,
Especie sin determinar,Especie sin determinar,NA,NA,
Eucalyptus camaldulensis,Eucalyptus camaldulensis,FALSE,bajo,
Eucalyptus globulus,Eucalyptus globulus,FALSE,bajo,
Eucalyptus gomphocephala,Eucalyptus gomphocephala,FALSE,bajo,
Eucalyptus sp,Eucalyptus sp,FALSE,bajo,
Eugenia myrtifolia,Eugenia myrtifolia,FALSE,bajo,
Euonymus fortunei,Euonymus fortunei,FALSE,bajo,
"Euonymus japónica""microphyll","Euonymus japónica""microphyll",FALSE,bajo,
Euonymus japonicus,Euonymus japonicus,FALSE,bajo,
Euonymus puchelus,Euonymus puchelus,FALSE,bajo,
Euonymus sp,Euonymus sp,FALSE,bajo,
Euphorbia cotinifolia,Euphorbia cotinifolia,FALSE,bajo,
Euphorbia milii,Euphorbia milii,FALSE,bajo,
Euphorbia pulcherrima,Euphorbia pulcherrima,FALSE,bajo,
Euphorbia sp,Euphorbia sp,FALSE,bajo,
Euryops chrysanthemoides,Euryops chrysanthemoides,FALSE,medio,
Euryops pectinatus,Euryops pectinatus,FALSE,medio,
Feijoa sellowiana,Feijoa sellowiana,FALSE,bajo,
Festuca glauca,Festuca glauca,FALSE,no,
Ficus benjamina,Ficus benjamina,FALSE,bajo,avispas
Ficus carica,Ficus carica,FALSE,bajo,avispas
Ficus elastica,Ficus elastica,FALSE,bajo,avispas
Ficus macrophylla,Ficus macrophylla,FALSE,bajo,avispas
Ficus microcarpa,Ficus microcarpa,FALSE,bajo,avispas
Ficus pumila,Ficus pumila,FALSE,bajo,avispas
Ficus rubiginosa,Ficus rubiginosa,FALSE,bajo,avispas
Ficus sp,Ficus sp,FALSE,bajo,avispas
Ficus viren,Ficus viren,FALSE,bajo,avispas
Firmiana simplex,Firmiana simplex,FALSE,bajo,
Fraxinus americana,Fraxinus americana,FALSE,no,
Fraxinus angustifolia,Fraxinus angustifolia,TRUE,no,
Fraxinus excelsior,Fraxinus excelsior,TRUE,no,
Fraxinus ornus,Fraxinus ornus,TRUE,medio,sirfidos
Gaura Lindheimeri,Gaura lindheimeri,FALSE,bajo,
Gleditsia sp,Gleditsia sp,FALSE,bajo,
Gleditsia triacanthos,Gleditsia triacanthos,FALSE,no,
Grevillea robusta,Grevillea robusta,FALSE,no,
Hedera helix,Hedera helix,TRUE,medio,
Helichrysum petiolare,Helichrysum petiolare,FALSE,medio,
Hibiscus mutabilis,Hibiscus mutabilis,FALSE,bajo,
Hibiscus rosa- sinensis,Hibiscus rosa- sinensis,FALSE,bajo,
Hibiscus sp,Hibiscus sp,FALSE,bajo,
Hibiscus syriacus,Hibiscus syriacus,FALSE,bajo,
Howea forsteriana,Howea forsteriana,FALSE,no,
Hypericum canariense,Hypericum canariense,FALSE,alto,
Hypericum densiflorum,Hypericum densiflorum,FALSE,alto,
Ilex castaneifolia,Ilex castaneifolia,FALSE,no,
Ipomoea palmata,Ipomoea palmata,FALSE,medio,
Iris sp,Iris sp,TRUE,medio,
Jacaranda mimosifolia,Jacaranda mimosifolia,FALSE,bajo,
Jasminum grandiflorum,Jasminum grandiflorum,FALSE,bajo,
Jasminum humile,Jasminum humile,FALSE,bajo,
Jasminum nudiflorum,Jasminum nudiflorum,FALSE,bajo,
Jasminum officinalis,Jasminum officinalis,FALSE,bajo,
Jasminum polyanthum,Jasminum polyanthum,FALSE,bajo,
Jasminum primulinum,Jasminum primulinum,FALSE,bajo,
Jasminum sp,Jasminum sp,FALSE,bajo,
Juglans regia,Juglans regia,FALSE,no,
Juncus acutus,Juncus acutus,TRUE,no,
Juniperus horizontalis,Juniperus horizontalis,FALSE,no,
Juniperus sp,Juniperus sp,FALSE,no,
Juniperus virginiana,Juniperus virginiana,FALSE,no,
Justicia adhatoda,Justicia adhatoda,FALSE,medio,
